sentence;consultant_id;gender;parameter_type
ДиАна РуслАн йацк1Ыс рЫц1а ддуп1;1;f;adv
Руслан йацк1Ыс ДиАна рЫц1а ддуп1;1;f;adv
ауИ рЫц1а ласЫта дЫг1вит1 сарА сацк1ыс;1;f;adv
сарА швАбыжта хъарАта съабзАзауа  рЫц1а ласЫта сджвЫлц1ра Атахъып1;1;f;adv
сарА швАбыжта хъарАта съабзАзауа  рЫц1а ласЫта сджвЫлц1ит1;1;f;adv
ауИ рах1А ласЫ дЫг1вит1 сара сАцк1ыс;1;f;adv
ауИ рах1А ласЫ дЫг1вит1 са сАцк1ыс;1;f;adv
ауИ рах1А ласЫ дЫг1вит1 сацк1Ыс;1;f;adv
ауИ рах1А ласЫта дЫг1вит1 сара сацк1ыс;1;f;adv
ауИ рах1А ласЫта дЫг1вит1 са сацк1ыс;1;f;adv
ауИ рах1А ласЫта дЫг1вит1 сацк1ыс;1;f;adv
жваг1вкъабардИйак1 рАцк1ыс  абАзаг1взАк1 рах1А дагъьп1;1;f;adv
хвгъЫччва рацк1Ыс мцх1вак1 рах1А дайчвАп1;1;f;adv
сарА сквт1Уква рах1А ймач1п1 йарА йч1вква рАцк1ыс;1;f;adv
сарА скастрЮльква рЫц1а йгь(с)щардАм  ларА лч1вква рАцк1ыс;1;f;adv
сарА скастрЮльква рЫц1а йгьщардАм мама лч1вквА рАцк1ыс;1;f;adv
РуслАн хвсантиметрк1ла ЗарИна лацк1Ыс рЫц1а дх1аг1ап1;10;f;adj
ЗарИна г1ванла ФатИма лацк1Ыс рЫц1а дх1аг1ап1;10;f;adj
Апхьаг1в рЫц1а йх1аг1у йг1атгАраква тшрЫлайырхъададит1;10;f;adj
са сацк1Ыс рЫц1а йх1аг1у апх1выспа апЕщ дг1ашЫлт1;10;f;adj
ла лацк1Ыс рЫц1а йх1аг1у апх1выспа апЕщ дг1ашЫлт1 ауАса ауАт гьх1аг1Ам;10;f;adj
рЫц1а йдуу ач1вА г1асЫт (дай).;10;f;adj
рЫц1а йдуу ач1вА г1аситИт1;10;f;adj
зымг1вА рАцк1Ыс рЫц1а йдуу ач1вА г1асЫт;10;f;adj
зымг1вА рАцк1Ыс рЫц1а йдуу ач1вА г1аситИт1;10;f;adj
МурАт алА рЫц1а ддуп1;10;f;adj
РуслАн хвсантиметрк1ла ЗарИна лацк1Ыс рах1А дх1аг1ап1;10;f;adj
ЗарИна г1ванла ФатИма лацк1Ыс рах1А дх1аг1ап1;10;f;adj
са сацк1Ыс рах1А йх1аг1у апх1выспа апЕщ дг1ашЫлт1;10;f;adj
Мух1амАд рЫц1а йпшдзАз пх1вЫспа дг1айш1ашвАт1;10;f;adj
МурАт сарА сышдзцауА Ацк1ыс рЫц1а ласЫ дЫг1вит1;10;f;adv
Фатима тшы анылг1вуа Ацк1ыс Руслан рЫц1а ласЫта дАпхьит1;10;f;adv
сарА сышдзцауА Ацк1ыс МурАт рЫц1а ласЫ дЫг1вит1;10;f;adv
ауИ сарА сАцк1ыс рЫц1а ласЫ дЫг1вит1;10;f;adv
ауИ рЫц1а ласЫ дЫг1вит1 сарА сАцк1ыс;10;f;adv
ауИ рЫц1а ласЫ дЫг1вит1 са сацк1Ыс;10;f;adv
ауИ рЫц1а ласЫ дЫг1вит1 сАцк1ыс;10;f;adv
ауИ сацк1ыс рЫц1а ласЫ дЫг1вит1;10;f;adv
ауИ рЫц1а ласЫта дЫг1вит1 сарА сацк1ыс;10;f;adv
ауИ рЫц1а ласЫта дЫг1вит1 са сацк1ыс;10;f;adv
ауИ рЫц1а ласЫта дЫг1вит1 сацк1ыс;10;f;adv
ауИ дшыг1вуА Ацк1ыс рЫц1а ласЫ дыпхьадзИт1;10;f;adv
ауИ сшыг1вуА Ацк1ыс рЫц1а ласЫ дыпхьадзИт1;10;f;adv
Инджьыгь-Чк1вын адзы рЫц1а ласЫта йЫг1вит1 КъвбИна-дзы Ацк1ыс;10;f;adv
апыжвбАна рЫц1а ласЫ йнЫкъвит1 адабыжьмАкъ Ацк1ыс;10;f;adv
РуслАн ФатИма тшы шылг1вуА рЫц1а ласЫта дАпхьит1;10;f;adv
ауИ рах1А ласЫ дЫг1вит1 сара сАцк1ыс;10;f;adv
ауИ рах1А ласЫ дЫг1вит1 са сацк1Ыс;10;f;adv
ауИ рах1А ласЫ дЫг1вит1 сацк1ыс;10;f;adv
ауИ рах1А ласЫта дЫг1вит1 сара сацк1ыс;10;f;adv
ауИ рах1А ласЫта дЫг1вит1 са сацк1ыс;10;f;adv
ауИ рах1А ласЫта дЫг1вит1 сацк1ыс;10;f;adv
ауИ сшыг1вуА Ацк1ыс рах1А ласЫ дыпхьадзИт1;10;f;adv
Инджьыгь-Чк1вын адзы рЫц1а йЫг1вит1 КъвбИна-дзы Ацк1ыс;10;f;verb
апыжвбАна рЫц1а йнЫкъвит1 адабыжьмАкъ Ацк1ыс;10;f;verb
ауИ азамАн Айх1ара рЫц1а дычвит1  данхауа Ацк1ыс;10;f;verb
ауИ дныкъвауа Ацк1ыс даныг1вуа рЫц1а йайх1Ап1;10;f;verb
Инджьыгь-Чк1вын адзы рах1А йЫг1вит1 КъвбИна-дзы Ацк1ыс;10;f;verb
апыжвбАна рах1А йнЫкъвит1 адабыжьмАкъ Ацк1ыс;10;f;verb
ауИ азамАн Айх1ара рах1а дычвит1  данхауа Ацк1ыс;10;f;verb
асУмка рЫц1а йх1Атлап1;11;f;adj
асУмка рЫц1агьи йх1Атлап1;11;f;adj
асУмка астОл Ацк1ыс рЫц1агьи йх1Атлахат1;11;f;adj
асУмка шх1Атлаз Ацк1ыс рЫц1агьи йх1Атлахат1;11;f;adj
ШамИль ДАна дшЫдздзцауа Ацк1ыс рЫц1а ласЫта дЫг1вит1;11;f;adv
ШамИль Апслачва шЫдздзцауа Ацк1ыс рЫц1а ласЫта дЫг1вит1;11;f;adv
ШамИль рЫц1а ласЫта Апслачва шЫдздзцауа Ацк1ыс дЫг1вит1;11;f;adv
ШамИль рЫц1а ласЫта дЫг1вит1 Апслачва шЫдздзцауа Ацк1ыс;11;f;adv
РуслАн ФатИма дышг1вА Ацк1ыс рЫц1а ласЫта дАпхьит1;11;f;adv
РуслАн ацгвЫ шчауА Ацк1ыс рЫц1а ласЫта дАпхьит1;11;f;adv
РуслАн ацгвЫ шчауА Ацк1ыс рЫц1а псАйспата дАпхьит1;11;f;adv
РуслАн ФатИма тшы шылг1вА Ацк1ыс рЫц1а ласЫта дАпхьит1;11;f;adv
РуслАн ацгвЫ пслачвА шАфуа Ацк1ыс рЫц1а ласЫта дАпхьит1;11;f;adv
ЗарИна г1ванла рЫц1а ФатИма лацк1Ыс дх1аг1ап1;12;f;adj
Нина рЫц1а дгвыбзыгъап1;12;f;adj
ЗарИна г1ванла рах1А ФатИма лацк1Ыс дх1аг1ап1;12;f;adj
ЗарИна ФатИма лацк1Ыс г1ванла рах1А дх1аг1ап1;12;f;adj
Нина рЫц1а дпшдзап1;12;f;adj
Нина рЫц1а дпшдздзап1;12;f;adj
Нина рЫц1а дгвышхваг1выч1вг1высп1;12;f;adj
ауИ рЫц1а ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс;12;f;adv
ауИ рЫц1а ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса сара псАйспата сг1вит1;12;f;adv
ауИ рЫц1а ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса сара псАйспата сг1вит1;12;f;adv
ауИ рах1А ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса сара псАйспа сг1вит1;12;f;adv
ауИ рах1А ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс;12;f;adv
ауИ рах1А ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса сара псАйспата сг1вит1;12;f;adv
ауИ рах1А ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса сара псАйспата сг1вит1;12;f;adv
ЗарИна рЫц1а дсгвапхИт1 уарАд сх1варныс ацк1Ыс;12;f;verb
са ЗарИна рЫц1а дсгвапхИт1 уарАд сх1варныс ацк1Ыс;12;f;verb
Аба рЫц1а дчит1 йпа йАцк1ыс;12;f;verb
уарАд сх1варнЫс Ацк1ыс ЗарИна рЫц1а дсгвапхИт1;12;f;verb
Руслан йАцк1ыс уарАд сх1варнЫс рЫц1а бзи йзбит1;12;f;verb
РуслАн рах1А дсг1вапхИт1 ацгвЫ Ацк1ыс;12;f;verb
ЗарИна ФатИма лацк1Ыс г1ванла рЫц1а дх1аг1ап1  ауАса ФатИма дсг1ап1;13;f;adj
ЗарИна ФатИма лацк1Ыс г1ванла рах1А дх1аг1ап1;13;f;adj
ЗарИна ФатИма лацк1Ыс г1ванла рах1А дх1аг1ап1  ауАса ФатИма дсг1ап1;13;f;adj
алац1арА рах1А гвЫмхата йг1вы  пщбАла;13;f;adj
рах1А гвЫмхата уквыджвджвА  сарА сайг1Айырныс;13;f;adj
ауИ рЫц1а ласЫ дАпхьит1 са сшг1ва Ацк1ыс;13;f;adv
ауИ рЫц1а ласЫта дАпхьит1 са сшг1ва Ацк1ыс;13;f;adv
ауИ рЫц1а щардА дАпхьит1 са сшг1ва Ацк1ыс;13;f;adv
ауИ рЫц1а щардАта дАпхьит1 са сшг1ва Ацк1ыс;13;f;adv
ауИ рЫц1а ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс;13;f;adv
ауИ рЫц1а ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс;13;f;adv
ауИ рЫц1а щардАта дпхьадзИт1 са сшг1ва Ацк1ыс;13;f;adv
ауИ рЫц1а щардА дпхьадзИт1 са сшг1ва Ацк1ыс;13;f;adv
ауИ рЫц1а ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс  сарА псАйспадза сг1вЫзт1х1ва;13;f;adv
ауИ рЫц1а ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс  сарА псАйспадза сг1вЫзт1х1ва;13;f;adv
Мух1амад  рЫц1а псАйспата учвАжва;13;f;adv
абАста рЫц1а (й)щардАта ичпА;13;f;adv
Кърым  рах1А ласЫта уг1ай  йх1фуш х1азЫрп1;13;f;adv
Мух1амад  рах1А псАйспата учвАжва;13;f;adv
рах1А псАйспата учвАжва  апЕщ йАцхъу пАпа дЫчвит1;13;f;adv
Лёля  бАста рах1А щардА ичпА  сасчвА х1ызг1Аит1;13;f;adv
нАна  бАста рах1А мАч1та йысзЫг1апкъ  сарА сымгва йчвЫп1;13;f;adv
рАх1а сг1Ата ухъАпал  сарА зак1гьИ йгьызбУм;13;f;adv
ауИ рах1А ласЫ дАпхьит1 са сшг1ва Ацк1ыс;13;f;adv
ауИ рах1А ласЫта дАпхьит1 са сшг1ва Ацк1ыс;13;f;adv
ауИ рах1А ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс;13;f;adv
ауИ рах1А ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс;13;f;adv
ауИ рах1А ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс  (ауАса) сарА псАйспадза сг1вЫзт1х1ва;13;f;adv
ауИ рах1А ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс  сарА псАйспадза сг1вЫзт1х1ва;13;f;adv
Инджьыгь-Чк1вын адзы рЫц1а ласЫта йЫг1вит1 КъвбИна-дзы Ацк1ыс;13;f;adv
К.-дзы шыг1вуа Ацк1ыс И-Ч.-адзы шыг1вуа рЫц1а йласЫп1;13;f;adv
Кърым  рЫц1а ласЫта уг1ай;13;f;adv
Инджьыгь-Чк1вын адзы рЫц1а ласЫта йЫг1вит1 КъвбИна-дзы Ацк1ыс;13;f;adv
Инджьыгь-Чк1вын адзы рЫц1а ласЫта йшЫг1вуа КъвбИна-дзы Ацк1ыс;13;f;adv
К.-дзы шыг1вуа Ацк1ыс И-Ч.-адзы шыг1вуа рЫц1а йласЫп1;13;f;adv
Инджьыгь-Чк1вын адзы рЫц1а йЫг1вит1 КъвбИна-дзы Ацк1ыс;13;f;verb
ИнджьЫгь-Чк1вын адзЫ КъвбИна адзЫ Ацк1ыс рЫц1а йЫг1вит1;13;f;verb
Апхьаг1в рах1А дЫчвуашт1 дынхУш ацк1Ыс;13;f;verb
Амир йацк1Ыс БорИс рЫц1а дх1аг1Ап1;14;m;adj
ауИ рЫц1а ласЫта дАпхьит1 сАцк1ыс;14;m;adv
Мурат сара сшыг1ва ацк1Ыс рЫц1а ласЫта дыдзцит1;14;m;adv
ауИ сАцк1ыс рЫц1а ласЫта дАпхьит1;14;m;adv
ауИ рах1А ласЫта дАпхьит1 сАцк1ыс;14;m;adv
ауИ рах1А ласЫта дАпхьит1 сАцк1ыс;14;m;adv
ауИ сАцк1ыс рах1А ласЫта дАпхьит1;14;m;adv
ауИ сарА сышг1вА Ацк1ыс рах1А ласЫта дАпхьит1;14;m;adv
ауИ сарА сышг1вА (с)ацк1Ыс рах1А ласЫта дАпхьит1;14;m;adv
ауИ даннЫкъвауа ацк1Ыс данЫг1вуа рах1А йайх1Ап1;15;m;adj
ЛИна рЫц1а дгвыбзЫгъап1 сшхъвыцуАз ацк1ыс;15;m;adj
амш рЫц1а йауырАп1 сшхъвыцуАз ацк1Ыс;15;m;adj
ахатшпЫ рЫц1а йц1Олап1 дышхъвЫцуа ацк1Ыс;15;m;adj
СултАн йытдзЫ рЫц1а йдуп1 Мух1амАд йбОра ацк1Ыс;15;m;adj
СултАн йтып атдзЫ рЫц1а йапшп1 Мух1амАд йбОра ацк1Ыс;15;m;adj
ауИ ласЫта рЫц1а дАпхьит1 сацк1Ыс;15;m;adv
ауИ ласЫта дАпхьит1 рЫц1а сацк1Ыс;15;m;adv
ауИ ласЫта дАпхьит1 сацк1Ыс рЫц1а;15;m;adv
ауИ рЫц1а сАцк1ыс ласЫта дАпхьит1;15;m;adv
ауИ сАцк1ыс ласЫта рЫц1а дАпхьит1;15;m;adv
ауИ сАцк1ыс ласЫта дАпхьит1 рЫц1а;15;m;adv
ауИ рЫц1а ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса сара псАйспата сг1вит1;15;m;adv
ауИ рЫц1а ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса сара псАйспата сг1вит1;15;m;adv
РуслАн ФатИма тшы шылг1вуА Ацк1ыс рЫц1а ласЫта дАпхьит1;15;m;adv
ауИ рЫц1а ласЫта дАпхьит1 сацк1Ыс;15;m;adv
ауИ сАцк1ыс рЫц1а ласЫта дАпхьит1;15;m;adv
ауИ рых1А сАцк1ыс ласЫта дАпхьит1;15;m;adv
ауИ сАцк1ыс ласЫта рах1А дАпхьит1;15;m;adv
ауИ сАцк1ыс ласЫта дАпхьит1 рах1А;15;m;adv
ауИ рах1А ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса сара псАйспата сг1вит1;15;m;adv
ауИ рах1А ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса сара псАйспата сг1вит1;15;m;adv
ауИ рах1А ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса ауИ дзАзап1  псАйспата дпхьадзит1;15;m;adv
ауИ рах1А ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса ауИ дзАзап1  псАйспата дпхьадзит1;15;m;adv
ауИ рах1А ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса ауИ псАйспата дпхьадзит1;15;m;adv
ауИ рах1А ласЫ дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса ауИ псАйспата дпхьадзит1;15;m;adv
ауИ рах1А ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс  ауАса ауИ псАйспата дпхьадзит1;15;m;adv
ауИ рах1А ласЫта дАпхьит1 сацк1Ыс;15;m;adv
ауИ сАцк1ыс рах1А ласЫта дАпхьит1;15;m;adv
РуслАн ФатИма тшы шылг1вуА Ацк1ыс рах1А ласЫта дАпхьит1;15;m;adv
ауИ рЫц1а ласЫта дАпхьит1 сшг1вуА ацк1Ыс;15;m;adv
ауИ рЫц1а сарА сышг1вуА Ацк1ыс ласЫта дАпхьит1;15;m;adv
ауИ сарА сышг1вуА ацк1Ыс рЫц1а ласЫта дАпхьит1;15;m;adv
ауИ сарА сышг1вуА Ацк1ыс ласЫта рЫц1а дАпхьит1;15;m;adv
ауИ сарА сышг1вА Ацк1ыс ласЫта дАпхьит1 рЫц1а;15;m;adv
МухамАд рЫц1а дсгвапхИт1 СултАн йацк1Ыс;15;m;verb
СултАн йацк1Ыс МухамАд рЫц1а дсгвапхИт1;15;m;verb
ауИ рЫц1а бзи дызбИт1 Мах1амАд йацк1Ыс;15;m;verb
сарА ацыгвквА рЫц1а бзи йзбит1 алаквА рацк1Ыс;15;m;verb
дымг1вайсуа ацк1Ыс рЫц1а дыг1вит1;15;m;verb
дымг1вайсуа ацк1Ыс рах1А дыг1вит1;15;m;verb
уыжжвЫ адзЫ (й)блит1  ауАса хвминутк1ла рЫц1а йхьуАшт1;16;m;adj
уыжжвЫ адзЫ блит1  ауАса уыжжвы ацк1Ыс хвминутк1 йахъыц1рквын рЫц1а йхьуАшт1  апещ хьшвАшва апнЫ;16;m;adj
СултАн РуслАн йацк1Ыс рах1А ддуп1;2;f;adj
СултАн рах1А РуслАн йацк1Ыс ддуп1;2;f;adj
СултАн йацк1Ыс РуслАн рах1А ддуп1;2;f;adj
СултАн рах1А ФатИма лацк1Ыс ддуп1;2;f;adj
ДиАна рах1А РуслАн йацк1Ыс ддуп1;2;f;adj
ДиАна РуслАн йацк1Ыс рах1А ддуп1;2;f;adj
Руслан йацк1Ыс ДиАна рах1А ддуп1;2;f;adj
ЗарИна хынла рЫц1а ФатИма лацк1Ыс дх1аг1ап1;3;f;adj
ЗарИна ФатИма лацк1Ыс рЫц1а хынла дх1аг1ап1;3;f;adj
асабИква агвАш рЫц1а пшдза йыршвЫт1;3;f;adj
асабИква агвАш рЫц1а пшдза йыршвЫт1  адУква рацк1Ыс;3;f;adj
асабИква агвАш рЫц1а пшдза йыршвЫт1 абльЫнква рац1к1Ыс;3;f;adj
асабИква агвАш рЫц1а пшдза йыршвЫт1 са сацк1Ыс;3;f;adj
асабИква агвАш рЫц1а пшдза йыршвЫт1 ба бацк1Ыс;3;f;adj
ауИ сацк1Ыс рах1А ддуп1;3;f;adj
МурАт алА ацк1Ыс рах1А ддуп1;3;f;adj
ажв рах1А йдуп1 Мурат йацк1Ыс;3;f;adj
ажв МурАт йацк1Ыс рах1А йдуп1;3;f;adj
ЗарИна г1ванла рах1А ФатИма лАцк1ыс дх1аг1ап1;3;f;adj
ЗарИна рах1А г1ванла ФатИма лАцк1ыс дх1аг1ап1;3;f;adj
ЗарИна ФатИма лацк1Ыс рах1А хынла дх1аг1ап1;3;f;adj
ЗарИна г1ванла ФатИма лацк1Ыс рах1А дх1аг1ап1;3;f;adj
арИ Апьхарта рах1А-рах1А бзи йызбауА сАлагат1;3;f;adj
арИ Апьхарта рах1А бзи йызбауА сАлагат1;3;f;adj
х1пахь йгЫлу Ац1ла ансисквшЫ рах1А-рах1А йАлах1ит1;3;f;adj
ФатИма тшы лг1вындзЫкьа Ацк1ыс РуслАн рЫц1а ласЫ дАпхьит1;3;f;adv
ауИ рЫц1а ласЫ дЫг1вит1 сарА сАцк1ыс;3;f;adv
ауИ рЫц1а ласЫ дЫг1вит1 са сАцк1ыс;3;f;adv
ауИ рЫц1а ласЫ дЫг1вит1 сацк1Ыс;3;f;adv
ауИ рЫц1а ласЫ дЫг1вит1 са(ра) сацк1Ыс;3;f;adv
ауИ сацк1ыс рЫц1а ласЫ дЫг1вит1;3;f;adv
ауИ рЫц1а ласЫта дЫг1вит1 сарА сацк1ыс;3;f;adv
ауИ рЫц1а ласЫта дЫг1вит1 са сацк1ыс;3;f;adv
ауИ рЫц1а ласЫта дЫг1вит1 сацк1ыс;3;f;adv
Абага рЫц1а ласЫ йЫг1вит1 ажьа ацк1ыс;3;f;adv
Абага рЫц1а ласЫта йЫг1вит1 ажьа ацк1ыс;3;f;adv
аба рЫц1а ласЫ дчит1 йпа йацк1Ыс;3;f;adv
аба рЫц1а щарда йфит1 йпа йацк1Ыс;3;f;adv
ажв рЫц1а йдуп1 МурАт йацк1Ыс;3;f;adv
ауИ рах1А ласЫ дЫг1вит1 са(ра) сацк1ыс;3;f;adv
са сацк1Ыс ауи рах1А ласЫ дЫг1вит1;3;f;adv
РуслАни ЗарИни йг1аг1вит1  ауИ рах1А ласЫ дЫг1вит1 лара лацк1Ыс;3;f;adv
ауИ рах1А ласЫ дЫг1вит1 сара сАцк1ыс;3;f;adv
ауИ рах1А ласЫ дЫг1вит1 са сАцк1ыс;3;f;adv
ауИ рах1А ласЫ дЫг1вит1 сацк1Ыс;3;f;adv
ауИ рах1А ласЫта дЫг1вит1 сара сацк1ыс;3;f;adv
ауИ рах1А ласЫта дЫг1вит1 са сацк1ыс;3;f;adv
ауИ рах1А ласЫта дЫг1вит1 сацк1ыс;3;f;adv
Абага рах1А ласЫ йЫг1вит1 ажьа ацк1ыс;3;f;adv
Абага рах1А ласЫта йЫг1вит1 ажьа ацк1ыс;3;f;adv
аба рах1А ласЫ дчит1 йпа йацк1Ыс;3;f;adv
аба рах1А щарда йфит1 йпа йацк1Ыс;3;f;adv
ауИ рах1А ласЫ дЫг1вит1 лара лацк1Ыс;3;f;adv
ачвынцквА сщындзЫкьа Руслан рах1А ласЫ дг1Аг1вашт1;3;f;adv
Абага рЫц1а йЫг1вит1 Ажьа ацк1Ыс;3;f;verb
аба рЫц1а дчит1 йпа йацк1Ыс;3;f;verb
ауИ рЫц1а дыг1вит1 дымг1вайсуа ацк1Ыс;3;f;verb
ЗарИна рЫц1а дсгвапхИт1 ДиАна лацк1Ыс;3;f;verb
ЗарИна рЫц1а дсгвапхИт1 РуслАн йацк1Ыс;3;f;verb
са уарАд сх1варнЫс рЫц1а йг1Алсхит1 сг1ах1вырнЫс ацк1Ыс;3;f;verb
са уарАд сх1варнЫс рЫц1а бзи йызбИт1 Руслан йацк1Ыс;3;f;verb
са уарАд сх1варнЫс рЫц1а йг1Алсхит1 Руслан йацк1Ыс;3;f;verb
уарАд х1варА рЫц1а бзи йызбИт1 РуслАн йацк1Ыс;3;f;verb
ЗарИна рЫц1а дсгвапхИт1 уарАд сх1варныс ацк1Ыс;3;f;verb
арИ Апьхарта рЫц1а-рЫц1а бзи йызбауА сАлагат1;3;f;verb
арИ Апьхарта рЫц1а бзи йызбауА сАлагат1;3;f;verb
Абага рЫц1а йшвИт1 аквЫджьма ацк1ыс;3;f;verb
сара х1Аба йацк1Ыс х1ан рах1А бзи дызбит1;3;f;verb
РуслАн ЗарИна лацк1ыс рах1А бзи дЫг1вит1;3;f;verb
аба рах1А дчит1 йпа йацк1Ыс;3;f;verb
аг1щаг1вЫ рах1А дЫчвырныс бзи йбит1 дынхарнЫс ацк1Ыс;3;f;verb
Апхьаг1в рах1А дычвИт1 дынхауА ацк1Ыс;3;f;verb
МурАт алА ацк1Ыс рЫц1а ддуп1;4;f;adj
асабИ алА ацк1Ыс рЫц1а ддуп1;4;f;adj
ажв МурАт йацк1Ыс рЫц1а йдуп1;4;f;adj
РуслАн ЗарИна лацк1Ыс хвсантиметрк1ла рЫц1а дх1аг1ап1;4;f;adj
РуслАн хвсантиметрк1ла ЗарИна лацк1Ыс рЫц1а дх1аг1ап1;4;f;adj
Зарина Фатима лацк1ыс рЫц1а дх1аг1Ап1  ауаса ауАт йхвыцп1;4;f;adj
Зарина Фатима лацк1Ыс рЫц1а дх1аг1Ап1;4;f;adj
Зарина Фатима лацк1ыс рыц1а ддуп1  ауаса ауАт йхвЫцп1;4;f;adj
уахьч1вА амш рЫц1а йбзИп1 йацЫ ацк1Ыс;4;f;adj
апх1вЫспа рЫц1а пшдзап1 ачк1вЫн йацк1Ыс;4;f;adj
ЗарИна г1ванла ФатИма лацк1Ыс рах1А дх1аг1ап1;4;f;adj
Зарина Фатима лацк1ыс рах1А дх1аг1Ап1  ауаса ауАт йхвыцп1;4;f;adj
Зарина Фатима лацк1Ыс рах1А дх1аг1Ап1;4;f;adj
Зарина Фатима лацк1ыс рах1А ддуп1  ауаса ауАт йхвЫцп1;4;f;adj
МурАт алА ацк1Ыс рах1А ддуп1;4;f;adj
ажв МурАт йацк1Ыс рах1А йдуп1;4;f;adj
РуслАн рЫц1а ласЫта дапхьИт1 сара ачвынц1Ы сщындзЫк1ьа;4;f;adv
ауИ йацк1Ыс сарА рЫц1а сласЫп1;4;f;adv
ауИ йацк1Ыс сарА рЫц1а ласЫрала сагъьп1;4;f;adv
ауИ рах1А ласЫта дпхьадзИт1 са сшг1ва Ацк1ыс  сарА псАйспадза сг1вЫзт1х1ва;4;f;adv
РуслАн рах1А ласЫта дапхьИт1 сара ачвынц1Ы сщындзЫк1ьа;4;f;adv
Мурат (5) Мух1амад (4) йацк1Ыс рЫц1а дЫг1вит1;4;f;verb
